id,name_cn,name_en,description_cn,description_en,score
21,是否反应速度快,Fast Response Speed,思考或应答是否迅速,Whether the person responds quickly in thought or speech,
22,是否信息处理能力强,Information Processing Ability,能否处理大量信息并做出判断,Whether the person can process and synthesize large amounts of information effectively,
23,是否能多线程处理问题,Multitasking in Thinking,是否能同时处理多个问题,Whether the person can handle multiple cognitive threads simultaneously,
24,是否有长期规划意识,Long-term Planning Awareness,是否有明确未来方向和步骤,Whether the person has a clear sense of long-term planning,
25,是否自我反思频繁,Frequent Self-Reflection,是否常常回顾自己的行为与思考,Whether the person frequently reflects on their own behavior and thoughts,
26,是否在意逻辑一致性,Logical Consistency Concern,是否对前后逻辑连贯性高度敏感,Whether the person is sensitive to logical consistency,
27,是否能提炼要点,Ability to Extract Key Points,是否能从复杂内容中抓住核心,Whether the person can extract the key points from complexity,
28,是否有独立思考能力,Independent Thinking,是否不轻易随从他人意见,Whether the person thinks independently without easily following others,
29,是否习惯数据支持,Data-Oriented Thinking,是否倾向用数据支撑判断,Whether the person prefers to use data to support their judgments,
30,是否接受模糊性,Tolerance for Ambiguity,是否能接受不确定、不清晰的状态,Whether the person can tolerate uncertainty and ambiguity,
31,是否喜欢生成自己的逻辑体系,Creating Own Logic System,是否构建个人认知逻辑而非盲从常规,Whether the person constructs personal logic systems rather than following convention,
32,是否能承认“我不知道”,Able to Say 'I Don't Know',是否愿意面对知识盲区,Whether the person openly admits lack of knowledge,
33,是否偏好解决型思维,Solution-Oriented Thinking,是否倾向在问题中寻找解决路径,Whether the person focuses on finding solutions,
34,是否容易纠结于定义,Obsession with Definitions,是否容易被概念边界卡住,Whether the person gets stuck on definitions and conceptual limits,
35,是否喜欢分类,Categorization Habit,是否习惯为事物归类,Whether the person tends to classify and categorize things,
36,是否追求终极解释,Pursuit of Ultimate Explanation,是否喜欢探究‘终极真相’,Whether the person seeks ultimate explanations,
37,是否看重本质而非表象,Essence over Appearance,是否重视事物本质,Whether the person values essence over appearance,
38,是否能接受悖论,Acceptance of Paradox,是否能接受两种矛盾共存的事实,Whether the person can accept the coexistence of contradictions,
39,是否主动建立知识体系,Knowledge System Builder,是否倾向自建知识架构,Whether the person tends to build personal knowledge systems,
40,是否对知识有控制欲,Control over Knowledge,是否倾向掌握所有可知信息,Whether the person desires control over knowledge,
41,是否在高压下保持理性,Rational Under Pressure,在压力环境下是否仍然理性决策,Whether the person maintains rationality under pressure,
42,是否情绪稳定,Emotional Stability,情绪是否容易波动,Whether the person's emotions are stable,
43,是否容易冲动,Impulsiveness,是否容易不经深思即做决定,Whether the person acts impulsively,
44,是否有同理心,Empathy,能否理解他人情感与处境,Whether the person can understand others' emotions and situations,
45,是否倾向内省,Introspection Tendency,是否常自我反思与检讨,Whether the person tends to self-reflect,
46,是否容易感到内疚,Guilt Sensitivity,是否容易对错误产生愧疚感,Whether the person often feels guilty for mistakes,
47,是否倾向原谅他人,Forgiveness Tendency,是否能轻易释怀他人错误,Whether the person tends to forgive others,
48,是否压抑情绪,Emotional Suppression,是否习惯隐藏或压制情绪,Whether the person suppresses or hides emotions,
49,是否情绪表达清晰,Clear Emotional Expression,是否能准确表达情绪,Whether the person expresses emotions clearly,
50,是否情绪感染力强,Emotional Influence,是否能带动他人情绪,Whether the person influences others' emotions,
51,是否面对批评有防御反应,Defensiveness to Criticism,是否一被批评就产生自我防御,Whether the person becomes defensive when criticized,
52,是否具有羞耻心,Sense of Shame,是否对道德失当有羞耻感,Whether the person feels shame for moral failures,
53,是否容易嫉妒,Jealousy Tendency,是否对他人优势产生强烈嫉妒,Whether the person experiences jealousy easily,
54,是否容易感动,Emotional Sensitivity,是否容易因情感触动而感动,Whether the person is emotionally sensitive and touched easily,
55,是否乐观,Optimism,是否对未来持积极态度,Whether the person maintains a positive outlook on the future,
56,是否悲观,Pessimism,是否容易对未来失去信心,Whether the person tends to lose hope for the future,
57,是否易焦虑,Anxiety Proneness,是否常感紧张、焦虑,Whether the person is prone to anxiety,
58,是否控制欲强,Desire for Control,是否希望掌控局势和他人,Whether the person desires to control situations or people,
59,是否能坦然接受失败,Acceptance of Failure,是否对失败有接纳和复原力,Whether the person accepts failure calmly and recovers quickly,
60,是否表现出羞涩,Shyness,是否在社交中易表现羞怯,Whether the person shows shyness in social settings,
61,是否愿意寻求帮助,Help-Seeking Tendency,在困难中是否主动求助,Whether the person seeks help when facing difficulties,
62,是否对新鲜事物有好奇心,Curiosity,是否对未知世界有探索欲,Whether the person is curious about new or unknown things,
63,是否愿意承担风险,Risk Taking,是否愿意面对不确定并付诸行动,Whether the person is willing to take risks,
64,是否抗拒权威,Resistance to Authority,是否倾向挑战规则与制度,Whether the person resists authority or established rules,
65,是否具独立人格,Individualism,是否强调自我风格与独立性,Whether the person emphasizes self-style and individuality,
66,是否具集体意识,Collective Orientation,是否强调团队协作与群体归属,Whether the person values teamwork and group identity,
67,是否容易妥协,Compromise Tendency,是否在冲突中倾向让步,Whether the person tends to compromise in conflicts,
68,是否喜欢竞争,Competitiveness,是否渴望在比较中胜出,Whether the person enjoys and seeks competition,
69,是否愿意服从,Obedience,是否愿意服从权威或规范,Whether the person tends to obey authority or norms,
70,是否易迁就他人,People-Pleasing,是否常常为了和谐牺牲自己,Whether the person sacrifices self for harmony,
71,是否会主动承担责任,Responsibility Taking,是否愿意为后果承担责任,Whether the person takes responsibility for outcomes,
72,是否在意他人评价,Concern for Others’ Opinions,是否高度关注别人怎么看自己,Whether the person cares about others' evaluations,
73,是否易自我怀疑,Self-Doubt,是否频繁对自我能力产生质疑,Whether the person frequently doubts their own abilities,
74,是否坚持自我,Persistence of Self,是否在外部压力下坚持自我选择,Whether the person persists in their own choices under pressure,
75,是否倾向模仿他人,Imitative Behavior,是否习惯复制他人行为模式,Whether the person tends to imitate others,
76,是否主动探索未知,Exploratory Behavior,是否积极探索新领域,Whether the person actively explores new areas,
77,是否情绪容易受音乐/艺术触动,Emotional Reaction to Art,是否对艺术感受力强,Whether the person is emotionally moved by art,
78,是否有精神寄托或信仰,Spiritual or Ideological Anchor,是否有信仰体系支撑人生,Whether the person holds a belief system or spiritual framework,
